region,subj,item,rpdur,tgdur,totfixdur,gbck,gdur,rr,rrdur,quan_cond,typic_cond,interf_cond,subj_cond,obj_cond,cond,quants,typic,interf
6,9,28,200,200,562,2,200,1,362,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,9,25,262,262,262,2,262,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,9,13,506,506,680,2,506,1,174,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,9,4,260,260,658,2,260,1,398,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,9,21,184,184,184,2,184,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,9,10,1364,1118,1118,1,660,1,458,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,9,29,198,198,198,2,198,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,9,11,184,184,596,2,184,1,412,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,9,2,198,198,198,2,198,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,9,5,200,200,200,2,200,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,9,16,192,192,518,2,192,1,326,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,9,6,270,270,270,2,270,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,9,8,212,212,492,2,212,1,280,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,9,17,470,470,470,2,470,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,9,32,214,214,214,2,214,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,9,20,278,278,570,2,278,1,292,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,9,7,548,548,646,2,548,1,98,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,9,3,670,670,858,2,670,1,188,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,9,22,380,380,380,2,380,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,9,12,496,496,678,2,496,1,182,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,9,9,232,232,232,2,232,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,9,19,200,200,200,2,200,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,9,27,2014,1580,1580,1,552,1,1028,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,9,23,206,206,756,2,206,1,550,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,9,30,236,236,236,2,236,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,9,18,546,546,546,2,546,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,9,15,316,316,316,2,316,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,9,26,280,280,406,2,280,1,126,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,9,31,216,216,216,2,216,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,17,3,536,536,536,2,536,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,17,9,720,530,530,1,292,1,238,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,17,19,422,422,1060,2,422,1,638,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,17,31,446,446,620,2,446,1,174,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,17,11,356,356,794,2,356,1,438,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,17,15,430,430,696,2,430,1,266,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,17,16,552,552,950,2,552,1,398,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,17,18,686,686,872,2,686,1,186,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,17,23,232,232,1018,2,232,1,786,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,17,13,826,826,1500,2,826,1,674,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,17,29,232,232,394,2,232,1,162,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,17,27,186,186,522,2,186,1,336,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,17,28,380,380,728,2,380,1,348,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,17,21,188,188,188,2,188,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,17,17,432,432,432,2,432,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,17,32,1080,686,686,1,236,1,450,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,17,26,186,186,186,2,186,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,17,8,364,364,364,2,364,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,17,12,248,248,248,2,248,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,17,22,346,200,200,1,200,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,17,20,198,198,468,2,198,1,270,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,17,5,232,232,1020,2,232,1,788,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,17,7,470,470,1274,2,470,1,804,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,17,10,1922,1436,1768,1,1400,1,368,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,17,25,398,398,1200,2,398,1,802,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,17,2,432,432,974,2,432,1,542,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,17,4,304,304,1448,2,304,1,1144,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,17,30,260,260,514,2,260,1,254,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,17,6,446,446,1576,2,446,1,1130,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,25,1,604,248,248,1,158,1,90,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,25,6,312,312,312,2,312,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,25,8,1398,1398,1950,2,1398,1,552,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,25,27,542,542,542,2,542,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,25,23,174,174,670,2,174,1,496,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,25,26,166,166,166,2,166,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,25,2,428,428,738,2,428,1,310,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,25,19,188,188,188,2,188,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,25,30,176,176,176,2,176,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,25,15,604,604,604,2,604,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,25,29,184,184,184,2,184,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,25,13,168,168,168,2,168,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,25,25,128,128,128,2,128,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,25,4,796,796,796,2,796,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,25,32,174,174,174,2,174,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,25,20,416,416,416,2,416,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,25,9,270,270,270,2,270,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,25,31,306,306,452,2,306,1,146,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,25,3,212,212,212,2,212,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,25,12,294,294,294,2,294,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,25,10,924,924,924,2,924,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,25,22,456,456,456,2,456,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,25,28,906,684,684,1,362,1,322,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,25,7,316,316,316,2,316,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,25,5,0,0,0,0,0,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,25,18,368,368,368,2,368,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,25,11,158,158,158,2,158,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,25,17,386,386,386,2,386,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,25,21,176,176,176,2,176,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,25,16,534,534,534,2,534,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,33,30,142,142,786,2,142,1,644,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,33,6,264,264,562,2,264,1,298,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,33,9,180,180,348,2,180,1,168,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,33,17,644,374,894,1,160,1,734,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,33,15,278,278,732,2,278,1,454,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,33,29,0,0,278,0,0,1,278,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,33,2,172,172,172,2,172,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,33,4,450,290,1114,1,156,1,958,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,33,32,176,176,1130,2,176,1,954,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,33,18,232,232,392,2,232,1,160,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,33,16,146,146,856,2,146,1,710,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,33,3,248,248,554,2,248,1,306,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,33,25,392,392,790,2,392,1,398,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,33,1,150,150,522,2,150,1,372,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,33,27,366,366,532,2,366,1,166,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,33,7,470,176,348,1,176,1,172,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,33,19,198,198,452,2,198,1,254,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,33,22,338,190,420,1,190,1,230,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,33,12,156,156,156,2,156,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,33,20,356,356,818,2,356,1,462,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,33,11,182,182,182,2,182,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,33,8,352,190,428,1,190,1,238,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,33,28,138,138,454,2,138,1,316,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,33,13,170,170,170,2,170,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,33,21,204,204,204,2,204,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,33,23,184,184,214,2,184,1,30,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,33,26,408,408,408,2,408,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,33,5,256,256,256,2,256,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,33,31,160,160,470,2,160,1,310,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,33,10,374,374,374,2,374,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,41,25,434,434,708,2,434,1,274,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,41,28,214,214,1444,2,214,1,1230,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,41,22,212,212,428,2,212,1,216,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,41,19,702,584,980,1,342,1,638,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,41,20,184,184,184,2,184,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,41,5,176,176,516,2,176,1,340,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,41,7,226,226,478,2,226,1,252,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,41,4,478,478,1404,2,478,1,926,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,41,31,446,446,604,2,446,1,158,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,41,8,0,0,130,0,0,1,130,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,41,29,198,198,682,2,198,1,484,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,41,11,0,0,266,0,0,1,266,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,41,10,1352,654,654,1,214,1,440,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,41,21,212,212,530,2,212,1,318,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,41,23,218,218,420,2,218,1,202,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,41,12,226,226,226,2,226,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,41,15,184,184,336,2,184,1,152,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,41,32,264,264,466,2,264,1,202,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,41,18,714,714,862,2,714,1,148,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,41,16,196,196,196,2,196,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,41,6,222,222,554,2,222,1,332,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,41,13,294,294,294,2,294,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,41,26,236,236,236,2,236,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,41,9,250,250,406,2,250,1,156,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,41,3,0,0,218,0,0,1,218,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
