dv_name,region,subj_cond,mu,sigma,iter,bf_10
tgdur,7,MIS,-0.027,0.009,1,2.8879723137636075
tgdur,7,MIS,-0.027,0.009,2,2.949998899091912
tgdur,7,MIS,-0.027,0.009,3,2.9817660496886025
tgdur,7,MIS,-0.027,0.009,4,3.0231894442950056
tgdur,7,MIS,-0.027,0.009,5,3.0464308690038506
totfixdur,6,MATCH,0,1,1,0.03960675445911113
totfixdur,6,MATCH,0,1,2,0.04121523454802209
totfixdur,6,MATCH,0,1,3,0.042067711380865944
totfixdur,6,MATCH,0,1,4,0.04086396946271117
totfixdur,6,MATCH,0,1,5,0.04353229787659222
totfixdur,6,MATCH,0,0.1,1,0.40935846071933535
totfixdur,6,MATCH,0,0.1,2,0.4026993659538538
totfixdur,6,MATCH,0,0.1,3,0.4063417162520631
totfixdur,6,MATCH,0,0.1,4,0.3894152638496489
totfixdur,6,MATCH,0,0.1,5,0.4229663690344048
totfixdur,6,MATCH,0,0.03,1,0.95387752180025
totfixdur,6,MATCH,0,0.03,2,1.036068746606964
totfixdur,6,MATCH,0,0.03,3,1.082978747545666
totfixdur,6,MATCH,0,0.03,4,1.0284835746088643
totfixdur,6,MATCH,0,0.03,5,0.8697434546223569
totfixdur,6,MATCH,-0.03,0.009,1,2.000121580985653
totfixdur,6,MATCH,-0.03,0.009,2,2.180380386567182
totfixdur,6,MATCH,-0.03,0.009,3,2.0811707756841074
totfixdur,6,MATCH,-0.03,0.009,4,2.24721901480066
totfixdur,6,MATCH,-0.03,0.009,5,2.0584203870625624
totfixdur,6,MATCH,-0.027,0.009,1,2.364474490478421
totfixdur,6,MATCH,-0.027,0.009,2,2.057059955243862
totfixdur,6,MATCH,-0.027,0.009,3,2.27664159785574
totfixdur,6,MATCH,-0.027,0.009,4,2.3002659487331667
totfixdur,6,MATCH,-0.027,0.009,5,2.140227257209827
totfixdur,6,MIS,0,1,1,0.027046038541299135
totfixdur,6,MIS,0,1,2,0.026871368233166392
totfixdur,6,MIS,0,1,3,0.03024344088079877
totfixdur,6,MIS,0,1,4,0.02876243405844174
totfixdur,6,MIS,0,1,5,0.02926329361898808
totfixdur,6,MIS,0,0.1,1,0.2765278916845071
totfixdur,6,MIS,0,0.1,2,0.2705995856862187
totfixdur,6,MIS,0,0.1,3,0.2733800536604557
totfixdur,6,MIS,0,0.1,4,0.285040746699195
totfixdur,6,MIS,0,0.1,5,0.2863777070062235
totfixdur,6,MIS,0,0.03,1,0.7914831802068104
totfixdur,6,MIS,0,0.03,2,0.7646576638624528
totfixdur,6,MIS,0,0.03,3,0.7441402868088552
totfixdur,6,MIS,0,0.03,4,0.7554575209862521
totfixdur,6,MIS,0,0.03,5,0.732310861973672
totfixdur,6,MIS,-0.03,0.009,1,1.3932166577000895
totfixdur,6,MIS,-0.03,0.009,2,1.21320488476757
totfixdur,6,MIS,-0.03,0.009,3,1.1385159901678505
totfixdur,6,MIS,-0.03,0.009,4,1.1675753207459159
totfixdur,6,MIS,-0.03,0.009,5,1.2671492350306526
totfixdur,6,MIS,-0.027,0.009,1,1.3412245859506864
totfixdur,6,MIS,-0.027,0.009,2,1.4005146455573907
totfixdur,6,MIS,-0.027,0.009,3,1.3979062918322909
totfixdur,6,MIS,-0.027,0.009,4,1.3642202995085462
totfixdur,6,MIS,-0.027,0.009,5,1.385823856144131
totfixdur,7,MATCH,0,1,1,0.03673591989694064
totfixdur,7,MATCH,0,1,2,0.037914770777868034
totfixdur,7,MATCH,0,1,3,0.03699913067140896
totfixdur,7,MATCH,0,1,4,0.035877793038025504
totfixdur,7,MATCH,0,1,5,0.037235590143601664
totfixdur,7,MATCH,0,0.1,1,0.3810926408900679
totfixdur,7,MATCH,0,0.1,2,0.39352909549811455
totfixdur,7,MATCH,0,0.1,3,0.3989343299901325
totfixdur,7,MATCH,0,0.1,4,0.3864457590782632
totfixdur,7,MATCH,0,0.1,5,0.3637313289506523
totfixdur,7,MATCH,0,0.03,1,0.9137339068576358
totfixdur,7,MATCH,0,0.03,2,0.9178027713941025
totfixdur,7,MATCH,0,0.03,3,0.9046732460049044
totfixdur,7,MATCH,0,0.03,4,1.0168835039983684
totfixdur,7,MATCH,0,0.03,5,0.9597153562846797
totfixdur,7,MATCH,-0.03,0.009,1,0.03203100781529084
totfixdur,7,MATCH,-0.03,0.009,2,0.03214878444356498
totfixdur,7,MATCH,-0.03,0.009,3,0.03388074922548748
totfixdur,7,MATCH,-0.03,0.009,4,0.03246120977572905
totfixdur,7,MATCH,-0.03,0.009,5,0.03224269559937658
totfixdur,7,MATCH,-0.027,0.009,1,0.05302999793682521
totfixdur,7,MATCH,-0.027,0.009,2,0.04810852342272664
totfixdur,7,MATCH,-0.027,0.009,3,0.051333189596386206
totfixdur,7,MATCH,-0.027,0.009,4,0.05022477613728903
totfixdur,7,MATCH,-0.027,0.009,5,0.050926605029507126
totfixdur,7,MIS,0,1,1,0.01570072844650673
totfixdur,7,MIS,0,1,2,0.014934694289699872
totfixdur,7,MIS,0,1,3,0.015272162407230035
totfixdur,7,MIS,0,1,4,0.015810883533527085
totfixdur,7,MIS,0,1,5,0.013871576020626225
totfixdur,7,MIS,0,0.1,1,0.14472620483398785
totfixdur,7,MIS,0,0.1,2,0.14789202296798082
totfixdur,7,MIS,0,0.1,3,0.16305541334830853
totfixdur,7,MIS,0,0.1,4,0.1365122520276504
totfixdur,7,MIS,0,0.1,5,0.13716879356368697
totfixdur,7,MIS,0,0.03,1,0.41495648488985004
totfixdur,7,MIS,0,0.03,2,0.4569299119340243
totfixdur,7,MIS,0,0.03,3,0.44386036916706906
totfixdur,7,MIS,0,0.03,4,0.4511472254643984
totfixdur,7,MIS,0,0.03,5,0.4636129829423941
totfixdur,7,MIS,-0.03,0.009,1,0.10321306277375451
totfixdur,7,MIS,-0.03,0.009,2,0.09969453657876508
totfixdur,7,MIS,-0.03,0.009,3,0.10610343882691191
totfixdur,7,MIS,-0.03,0.009,4,0.1033882072550421
totfixdur,7,MIS,-0.03,0.009,5,0.0995023336414192
totfixdur,7,MIS,-0.027,0.009,1,0.16124176934695766
totfixdur,7,MIS,-0.027,0.009,2,0.15355580877026107
totfixdur,7,MIS,-0.027,0.009,3,0.15613366782014326
totfixdur,7,MIS,-0.027,0.009,4,0.153701135137658
totfixdur,7,MIS,-0.027,0.009,5,0.14602973052001678
tgdur,6,MATCH,0,1,1,0.01611683410682675
tgdur,6,MATCH,0,1,2,0.017254778244183765
tgdur,6,MATCH,0,1,3,0.018801657539213156
tgdur,6,MATCH,0,1,4,0.018460285204006575
tgdur,6,MATCH,0,1,5,0.01831017862102687
tgdur,6,MATCH,0,0.1,1,0.17296063177768803
tgdur,6,MATCH,0,0.1,2,0.17103544769150342
tgdur,6,MATCH,0,0.1,3,0.18245968095212842
tgdur,6,MATCH,0,0.1,4,0.18855052004475717
tgdur,6,MATCH,0,0.1,5,0.17602031181191455
tgdur,6,MATCH,0,0.03,1,0.5446800672738373
tgdur,6,MATCH,0,0.03,2,0.5094534876655412
tgdur,6,MATCH,0,0.03,3,0.5572549850567934
tgdur,6,MATCH,0,0.03,4,0.503706565039219
tgdur,6,MATCH,0,0.03,5,0.47055930573278965
tgdur,6,MATCH,-0.03,0.009,1,0.5228060887756523
tgdur,6,MATCH,-0.03,0.009,2,0.4644060490052032
tgdur,6,MATCH,-0.03,0.009,3,0.5234311622957594
tgdur,6,MATCH,-0.03,0.009,4,0.49977681544338615
tgdur,6,MATCH,-0.03,0.009,5,0.5068037073495559
tgdur,6,MATCH,-0.027,0.009,1,0.6378294990647737
tgdur,6,MATCH,-0.027,0.009,2,0.64754986976667
tgdur,6,MATCH,-0.027,0.009,3,0.5825985753957056
tgdur,6,MATCH,-0.027,0.009,4,0.614695755243685
tgdur,6,MATCH,-0.027,0.009,5,0.6458442288889971
tgdur,6,MIS,0,1,1,0.016411666042290784
